variant_id,object_id,stored,success,attempt,usable_good_frac,success_rate,slots,min_slot_count,max_slot_count
1597,7,32,115,118,0.2782608695652174,0.9745762711864406,3,2,28
1630,23,32,115,118,0.2782608695652174,0.9745762711864406,3,0,32
1914,0,32,109,120,0.29357798165137616,0.9083333333333333,3,1,29
1851,10,32,99,119,0.32323232323232326,0.8319327731092437,3,1,23
870,15,32,96,111,0.3333333333333333,0.8648648648648649,3,1,18
135,20,33,147,158,0.22448979591836735,0.930379746835443,3,2,16
1273,11,33,142,155,0.2323943661971831,0.9161290322580645,3,0,32
1676,9,33,136,138,0.2426470588235294,0.9855072463768116,3,1,18
629,3,33,135,148,0.24444444444444444,0.9121621621621622,3,9,14
537,31,33,134,148,0.2462686567164179,0.9054054054054054,3,5,22
1488,13,33,132,142,0.25,0.9295774647887324,3,3,25
836,29,33,131,137,0.25190839694656486,0.9562043795620438,3,1,21
1773,31,33,130,149,0.25384615384615383,0.87248322147651,3,1,25
783,17,33,129,135,0.2558139534883721,0.9555555555555556,3,0,24
512,11,33,128,135,0.2578125,0.9481481481481482,3,4,24
791,29,33,127,130,0.25984251968503935,0.9769230769230769,3,0,27
1629,12,33,127,145,0.25984251968503935,0.8758620689655172,3,5,20
2014,19,33,127,130,0.25984251968503935,0.9769230769230769,3,2,22
1076,6,33,125,126,0.264,0.9920634920634921,3,3,17
1238,14,33,125,128,0.264,0.9765625,3,2,17
43,0,33,124,128,0.2661290322580645,0.96875,3,2,20
1720,18,33,124,125,0.2661290322580645,0.992,3,5,17
311,4,33,121,127,0.2727272727272727,0.952755905511811,3,0,29
510,5,33,119,130,0.2773109243697479,0.9153846153846154,3,9,13
1847,25,33,119,123,0.2773109243697479,0.967479674796748,3,4,17
574,9,33,116,117,0.28448275862068967,0.9914529914529915,3,6,17
1132,10,33,112,118,0.29464285714285715,0.9491525423728814,3,2,16
130,22,33,106,126,0.3113207547169811,0.8412698412698413,3,1,22
648,6,33,103,112,0.32038834951456313,0.9196428571428571,3,3,20
1118,22,33,102,112,0.3235294117647059,0.9107142857142857,3,1,24
856,27,33,99,113,0.3333333333333333,0.8761061946902655,3,1,28
958,29,34,144,157,0.2361111111111111,0.9171974522292994,3,1,32
1290,23,34,144,150,0.2361111111111111,0.96,3,3,19
1709,30,34,141,144,0.24113475177304963,0.9791666666666666,3,6,16
1713,14,34,140,146,0.24285714285714285,0.958904109589041,3,6,21
1825,5,34,138,143,0.2463768115942029,0.965034965034965,3,1,19
477,22,34,137,138,0.24817518248175183,0.9927536231884058,3,2,17
1278,19,34,136,142,0.25,0.9577464788732394,3,4,17
1992,26,34,135,147,0.2518518518518518,0.9183673469387755,3,3,24
1425,22,34,134,139,0.2537313432835821,0.9640287769784173,3,5,17
482,12,34,132,145,0.25757575757575757,0.9103448275862069,3,7,15
717,15,34,131,134,0.2595419847328244,0.9776119402985075,3,1,29
626,10,34,130,139,0.26153846153846155,0.935251798561151,3,0,19
397,6,34,129,132,0.26356589147286824,0.9772727272727273,3,1,32
166,25,34,128,129,0.265625,0.9922480620155039,3,5,23
805,19,34,127,132,0.2677165354330709,0.9621212121212122,3,3,27
221,20,34,126,127,0.2698412698412698,0.9921259842519685,3,9,14
1848,29,34,126,129,0.2698412698412698,0.9767441860465116,3,1,32
803,11,34,123,142,0.2764227642276423,0.8661971830985915,3,5,17
1662,0,34,123,125,0.2764227642276423,0.984,3,6,18
4,24,34,122,124,0.2786885245901639,0.9838709677419355,3,2,29
1112,31,34,118,134,0.288135593220339,0.8805970149253731,3,0,21
1183,2,34,117,151,0.2905982905982906,0.7748344370860927,3,4,24
1386,1,34,116,119,0.29310344827586204,0.9747899159663865,3,3,26
1829,3,34,115,118,0.2956521739130435,0.9745762711864406,3,7,20
