variant_id,object_id,base_x,base_y,base_yaw,object_x,object_y,object_z,obj_rel_base_x,obj_rel_base_y,correct_region,z_shift,table_x,table_y,object_mass
1831,7,-0.2289467304944992,0.08322641253471375,-0.021899159997701645,0.3799939453601837,-0.19143220782279968,0.5626589059829712,0.6148089782010272,-0.2612585400909599,True,0.5118027925491333,0.6617600917816162,0.6841790676116943,0.2635831832885742
141,2,-0.28828901052474976,0.18758761882781982,-0.03328618034720421,0.5259361267089844,0.013209729455411434,0.6414969563484192,0.819577412536057,-0.14718385531698422,True,0.5767108201980591,0.5084419250488281,1.0183647871017456,0.7705391049385071
141,2,-0.29204845428466797,-0.19435559213161469,-0.01446375623345375,0.5182929635047913,-0.056531380861997604,0.6441959738731384,0.808263271165456,0.1495299671705961,True,0.5767108201980591,0.5084419250488281,1.0183647871017456,0.7705391049385071
141,2,-0.24360217154026031,0.10750719159841537,0.03391427546739578,0.5002860426902771,0.11837519705295563,0.6442561745643616,0.743828963153123,-0.01436183791190184,True,0.5767108201980591,0.5084419250488281,1.0183647871017456,0.7705391049385071
1999,24,-0.30500122904777527,-0.049958888441324234,-0.05291801691055298,0.542254626750946,0.08610613644123077,0.5643989443778992,0.8388729090811262,0.18068873399103408,True,0.49682947993278503,0.5199785232543945,0.9328066110610962,0.31001585721969604
1999,24,-0.304656058549881,-0.0049259536899626255,-0.06999058276414871,0.5431416630744934,-0.18981654942035675,0.564600944519043,0.8586520614153128,-0.12514849822612345,True,0.49682947993278503,0.5199785232543945,0.9328066110610962,0.31001585721969604
1999,24,-0.2861466109752655,0.009583410806953907,0.02738642320036888,0.4076148569583893,-0.020080789923667908,0.5644959807395935,0.6926890232252838,-0.048650347353831454,True,0.49682947993278503,0.5199785232543945,0.9328066110610962,0.31001585721969604
1999,24,-0.23344571888446808,-0.010200328193604946,-0.0629764124751091,0.5203220248222351,0.03174595534801483,0.5643941164016724,0.7496336247936428,0.08930134788675986,True,0.49682947993278503,0.5199785232543945,0.9328066110610962,0.31001585721969604
1999,24,-0.21570144593715668,-0.2057342678308487,-0.03608109802007675,0.49340125918388367,0.1430305540561676,0.5643787980079651,0.6960600965254338,0.37411748077423923,True,0.49682947993278503,0.5199785232543945,0.9328066110610962,0.31001585721969604
1999,24,-0.26326701045036316,0.04525207728147507,0.020081056281924248,0.4992527663707733,-0.15736454725265503,0.5643936991691589,0.7582975569938588,-0.21788694691997001,True,0.49682947993278503,0.5199785232543945,0.9328066110610962,0.31001585721969604
480,21,-0.36214157938957214,-0.06954347342252731,-0.031022246927022934,0.413737952709198,0.17306408286094666,0.7689434289932251,0.76798119225004,0.26655649128440395,True,0.6810681819915771,0.5223821401596069,0.691053569316864,0.4578520655632019
480,21,-0.3516061007976532,-0.2556346654891968,0.0651751160621643,0.5285951495170593,-0.09216079115867615,0.7690425515174866,0.8889793417720845,0.10580018216754414,True,0.6810681819915771,0.5223821401596069,0.691053569316864,0.4578520655632019
480,21,-0.3982155919075012,-0.1809002012014389,0.04111828655004501,0.5279768109321594,0.022017130628228188,0.7689615488052368,0.9337508122379751,0.16467310429969217,True,0.6810681819915771,0.5223821401596069,0.691053569316864,0.4578520655632019
480,21,-0.30191969871520996,0.0256584994494915,0.028939200565218925,0.5414879322052002,-0.15781818330287933,0.7691274881362915,0.8377455607509693,-0.20780399527111365,True,0.6810681819915771,0.5223821401596069,0.691053569316864,0.4578520655632019
480,21,-0.30944058299064636,-0.28923630714416504,0.07651202380657196,0.47601985931396484,0.12145613133907318,0.7689498662948608,0.8145547455405516,0.34945236008650876,True,0.6810681819915771,0.5223821401596069,0.691053569316864,0.4578520655632019
304,23,-0.24871385097503662,0.0606490820646286,0.013702970929443836,0.4305344223976135,0.15917669236660004,0.6499531865119934,0.680534581394483,0.08921093205308073,True,0.573487401008606,0.5966500043869019,0.6129344701766968,0.4471137225627899
304,23,-0.3946230113506317,-0.05631779506802559,-0.04178602620959282,0.4770980477333069,-0.008059493266046047,0.6500383019447327,0.8689441900704654,0.08463133631236877,True,0.573487401008606,0.5966500043869019,0.6129344701766968,0.4471137225627899
304,23,-0.3945451080799103,-0.041467614471912384,0.041624583303928375,0.4046306908130646,0.05765542387962341,0.6499589085578918,0.8026083343100072,0.06578142567914132,True,0.573487401008606,0.5966500043869019,0.6129344701766968,0.4471137225627899
304,23,-0.3848978281021118,-0.29100221395492554,0.07217996567487717,0.489328533411026,-0.10974793881177902,0.6500484347343445,0.885021583465845,0.11773546713618309,True,0.573487401008606,0.5966500043869019,0.6129344701766968,0.4471137225627899
304,23,-0.34921497106552124,-0.07139755040407181,-0.06412824988365173,0.5112794637680054,0.17801199853420258,0.6500123143196106,0.8427424408826791,0.3040410725809393,True,0.573487401008606,0.5966500043869019,0.6129344701766968,0.4471137225627899
304,23,-0.363252729177475,-0.0564139187335968,-0.03786434233188629,0.4487735331058502,0.04008271545171738,0.6500613689422607,0.8077913188054848,0.12716696233463143,True,0.573487401008606,0.5966500043869019,0.6129344701766968,0.4471137225627899
304,23,-0.22818665206432343,-0.12420552223920822,-0.004913900978863239,0.53279709815979,0.07489284127950668,0.649997353553772,0.7599962170187853,0.2028353435132093,True,0.573487401008606,0.5966500043869019,0.6129344701766968,0.4471137225627899
414,17,-0.3761654794216156,-0.1619819700717926,-0.07224324345588684,0.5462837815284729,-0.1841188371181488,0.7411535978317261,0.9216409849324587,0.04450364931912677,True,0.6737069487571716,0.5209037065505981,0.9827649593353271,0.7594243288040161
414,17,-0.32858824729919434,-0.28021204471588135,-0.056394968181848526,0.5221340656280518,-0.059887174516916275,0.7412424087524414,0.8369512271092132,0.2679256344227934,True,0.6737069487571716,0.5209037065505981,0.9827649593353271,0.7594243288040161
414,17,-0.3703871965408325,-0.3220127820968628,-0.023441627621650696,0.526189386844635,-0.05611766129732132,0.7411274313926697,0.8900978122355484,0.2868373577371875,True,0.6737069487571716,0.5209037065505981,0.9827649593353271,0.7594243288040161
64,18,-0.36512231826782227,-0.16143393516540527,-0.056401971727609634,0.5340614318847656,0.013256295584142208,0.5346612930297852,0.8879062451763949,0.2251012950530435,True,0.4878880977630615,0.6312982439994812,1.1829928159713745,0.4652416706085205
64,18,-0.24218684434890747,-0.16674792766571045,0.04793542996048927,0.3182269036769867,0.06355651468038559,0.5374306440353394,0.5708055255123908,0.20318650837420277,True,0.4878880977630615,0.6312982439994812,1.1829928159713745,0.4652416706085205
64,18,-0.15849493443965912,-0.2368907779455185,0.07254241406917572,0.4406512677669525,0.17495615780353546,0.5373963713645935,0.6274205936456719,0.3673383573407546,True,0.4878880977630615,0.6312982439994812,1.1829928159713745,0.4652416706085205
64,18,-0.2836379110813141,-0.11007670313119888,0.05790509283542633,0.4509386718273163,0.12133463472127914,0.5373872518539429,0.7467378173669471,0.18851152632781282,True,0.4878880977630615,0.6312982439994812,1.1829928159713745,0.4652416706085205
64,18,-0.25306248664855957,-0.014699327759444714,-0.019754473119974136,0.4965367615222931,0.010339274071156979,0.5373821258544922,0.7489583992015035,0.03984069157858892,True,0.4878880977630615,0.6312982439994812,1.1829928159713745,0.4652416706085205
