variant_id,object_id,z_shift,table_x,table_y,object_mass,attempts,successes,failures,success_rate
374,25,0.6807942986488342,0.6068751811981201,0.8713204860687256,0.47813791036605835,52,4,48,0.07692307692307693
260,12,0.7817490100860596,0.6066750884056091,0.8991608619689941,0.3987453579902649,51,4,47,0.0784313725490196
1661,4,0.6720458269119263,0.5260215401649475,0.7445962429046631,0.5763838291168213,38,3,35,0.07894736842105263
822,25,0.49976471066474915,0.5422943830490112,0.6831997036933899,0.6181736588478088,38,3,35,0.07894736842105263
1147,5,0.5095374584197998,0.636637806892395,1.0619440078735352,0.560514509677887,38,3,35,0.07894736842105263
343,27,0.7960129380226135,0.6568441987037659,1.0283410549163818,0.7454895973205566,50,4,46,0.08
1624,5,0.5005456209182739,0.5883447527885437,0.8186913132667542,0.6558457612991333,50,4,46,0.08
769,25,0.6799847483634949,0.5720588564872742,0.689706027507782,0.47571098804473877,50,4,46,0.08
1502,12,0.5562731623649597,0.668701171875,0.8030548691749573,0.4857589602470398,37,3,34,0.08108108108108109
319,4,0.6738491058349609,0.6389825344085693,0.6377967596054077,0.5459956526756287,49,4,45,0.08163265306122448
707,25,0.7896692752838135,0.5168808102607727,0.8107703924179077,0.4854881763458252,49,4,45,0.08163265306122448
197,12,0.7284883260726929,0.5987797975540161,0.8018804788589478,0.40390437841415405,48,4,44,0.08333333333333333
428,5,0.6321055293083191,0.6807506084442139,1.0248992443084717,0.719717264175415,36,3,33,0.08333333333333333
1396,4,0.42024245858192444,0.5176253318786621,1.1665706634521484,0.6070839762687683,36,3,33,0.08333333333333333
1516,6,0.7542412877082825,0.5369887351989746,1.1950669288635254,0.5618353486061096,47,4,43,0.0851063829787234
951,4,0.4905332922935486,0.6338192820549011,0.9727232456207275,0.6141662001609802,35,3,32,0.08571428571428572
365,25,0.6098443269729614,0.6233243942260742,0.8308539986610413,0.44020703434944153,46,4,42,0.08695652173913043
849,12,0.7285482883453369,0.6481518745422363,0.7726736068725586,0.29968544840812683,46,4,42,0.08695652173913043
401,26,0.7404910326004028,0.5848647952079773,0.866560697555542,0.7937881946563721,46,4,42,0.08695652173913043
482,12,0.6318033337593079,0.554270327091217,1.0796995162963867,0.26831451058387756,46,4,42,0.08695652173913043
1300,25,0.5631083846092224,0.6705654263496399,0.9179168939590454,0.49855440855026245,46,4,42,0.08695652173913043
1359,25,0.634711742401123,0.5098496079444885,1.163431167602539,0.7913600206375122,34,3,31,0.08823529411764706
1744,17,0.4898725748062134,0.6118272542953491,1.198656439781189,0.3151874542236328,34,3,31,0.08823529411764706
1939,26,0.43523168563842773,0.5379517674446106,0.6963659524917603,0.2414073795080185,34,3,31,0.08823529411764706
1392,4,0.5347053408622742,0.5130268931388855,0.7267918586730957,0.652979850769043,45,4,41,0.08888888888888889
647,6,0.7889529466629028,0.6305195093154907,0.9372498393058777,0.2856113612651825,45,4,41,0.08888888888888889
1064,4,0.4134492576122284,0.5993503332138062,0.9293428063392639,0.7563958168029785,45,4,41,0.08888888888888889
893,5,0.6853690147399902,0.6078675985336304,1.000981092453003,0.5693007707595825,45,4,41,0.08888888888888889
489,26,0.6972094774246216,0.6990803480148315,0.9872845411300659,0.7111207842826843,45,4,41,0.08888888888888889
746,4,0.7532479763031006,0.6679720282554626,0.874852180480957,0.40449258685112,45,4,41,0.08888888888888889
1036,26,0.44130274653434753,0.5218732357025146,0.7252000570297241,0.27106714248657227,45,4,41,0.08888888888888889
124,26,0.7065762281417847,0.6627773642539978,0.8438319563865662,0.7681260108947754,45,4,41,0.08888888888888889
417,12,0.7738873958587646,0.646636962890625,0.7527072429656982,0.23742519319057465,56,5,51,0.08928571428571429
808,25,0.4161517918109894,0.5369139909744263,0.9799994230270386,0.7344656586647034,44,4,40,0.09090909090909091
1371,25,0.5257598161697388,0.59904545545578,0.9407959580421448,0.3202819228172302,44,4,40,0.09090909090909091
1779,25,0.6428912878036499,0.5494636297225952,1.0874545574188232,0.2914748787879944,54,5,49,0.09259259259259259
884,25,0.7554339170455933,0.6063652038574219,0.9160386323928833,0.3219986855983734,54,5,49,0.09259259259259259
1903,27,0.7753554582595825,0.6823266744613647,0.6418882608413696,0.21503618359565735,43,4,39,0.09302325581395349
1533,12,0.489053875207901,0.5030010938644409,1.0880047082901,0.2588643431663513,43,4,39,0.09302325581395349
1739,17,0.42207545042037964,0.6667180061340332,1.1334166526794434,0.7548096776008606,43,4,39,0.09302325581395349
699,25,0.7407834529876709,0.5287535190582275,0.7485026717185974,0.2833980917930603,43,4,39,0.09302325581395349
1980,5,0.40074795484542847,0.6663045287132263,0.6276534795761108,0.5311106443405151,43,4,39,0.09302325581395349
1165,6,0.7866535186767578,0.5161256194114685,0.7671263813972473,0.4333474040031433,53,5,48,0.09433962264150944
957,13,0.7397474646568298,0.6660566926002502,0.9260444641113281,0.34256207942962646,53,5,48,0.09433962264150944
448,26,0.5010334253311157,0.6042101383209229,1.1531683206558228,0.25301700830459595,42,4,38,0.09523809523809523
887,4,0.7421226501464844,0.6420664191246033,0.6860528588294983,0.7435870170593262,42,4,38,0.09523809523809523
1992,26,0.7183787226676941,0.5489952564239502,1.0264993906021118,0.4262864589691162,42,4,38,0.09523809523809523
1979,27,0.5408578515052795,0.5484709739685059,0.7558771967887878,0.7847097516059875,42,4,38,0.09523809523809523
833,4,0.4063197076320648,0.6670256853103638,1.1992292404174805,0.44721370935440063,52,5,47,0.09615384615384616
1616,26,0.6832596659660339,0.684685230255127,0.9902758002281189,0.30467039346694946,41,4,37,0.0975609756097561
1079,4,0.6115716099739075,0.500346302986145,1.1626392602920532,0.48972249031066895,41,4,37,0.0975609756097561
858,12,0.4865018427371979,0.5636783242225647,1.1620190143585205,0.5532286167144775,41,4,37,0.0975609756097561
286,6,0.4255693852901459,0.596453070640564,1.0321426391601562,0.5027362704277039,51,5,46,0.09803921568627451
877,12,0.6326210498809814,0.5406766533851624,1.0756993293762207,0.7518320083618164,51,5,46,0.09803921568627451
865,4,0.7034381031990051,0.6636239290237427,1.0064828395843506,0.7874847054481506,51,5,46,0.09803921568627451
