variant_id,correct_success_count,total_success_count,wrong_success_count
576,24,57,33
577,35,61,26
578,36,68,32
579,10,59,49
580,26,64,38
581,29,63,34
582,28,65,37
583,21,77,56
584,17,63,46
585,37,58,21
586,6,57,51
587,11,67,56
588,17,72,55
589,29,66,37
590,47,71,24
591,15,65,50
592,14,73,59
593,13,62,49
594,11,53,42
595,39,74,35
596,48,71,23
597,28,64,36
598,33,63,30
599,17,66,49
600,31,68,37
601,49,65,16
602,35,71,36
603,27,61,34
604,30,53,23
605,17,56,39
606,21,64,43
607,9,50,41
608,28,59,31
609,23,62,39
610,20,72,52
611,38,53,15
612,5,60,55
613,20,61,41
614,22,65,43
615,48,70,22
616,30,70,40
617,43,78,35
618,22,66,44
619,35,67,32
620,25,53,28
621,27,62,35
622,10,62,52
623,20,60,40
624,14,61,47
625,32,73,41
626,17,62,45
627,28,62,34
628,21,61,40
629,27,67,40
630,36,62,26
631,18,60,42
632,39,68,29
633,51,60,9
634,22,58,36
635,38,65,27
636,25,72,47
637,23,59,36
638,19,54,35
639,24,52,28
640,22,61,39
641,22,49,27
642,26,65,39
643,36,64,28
644,16,64,48
645,18,59,41
646,38,61,23
647,22,74,52
648,13,50,37
649,24,55,31
650,16,57,41
651,22,65,43
652,21,47,26
653,29,63,34
654,24,51,27
655,33,55,22
656,27,55,28
657,24,71,47
658,7,61,54
659,38,69,31
660,9,52,43
661,31,71,40
662,37,61,24
663,12,52,40
664,37,73,36
665,15,64,49
666,36,66,30
667,28,57,29
668,20,57,37
669,27,54,27
670,40,71,31
671,22,61,39
672,31,58,27
673,38,66,28
674,11,55,44
675,22,54,32
676,34,65,31
677,32,48,16
678,35,64,29
679,28,63,35
680,23,64,41
681,24,63,39
682,22,51,29
683,24,57,33
684,44,72,28
685,12,55,43
686,32,68,36
687,17,65,48
688,40,64,24
689,32,53,21
690,26,66,40
691,19,57,38
692,31,50,19
693,40,66,26
694,24,56,32
695,27,51,24
696,33,72,39
697,19,58,39
698,30,72,42
699,19,66,47
700,19,53,34
701,27,58,31
702,23,54,31
703,38,73,35
704,25,62,37
705,29,65,36
706,28,64,36
707,19,69,50
708,15,74,59
709,33,56,23
710,33,60,27
711,16,59,43
712,35,66,31
713,43,66,23
714,14,43,29
715,16,49,33
716,39,59,20
717,23,61,38
718,32,66,34
719,22,60,38
720,32,60,28
721,39,64,25
722,39,66,27
723,41,60,19
724,36,67,31
725,19,65,46
726,12,60,48
727,18,67,49
728,36,65,29
729,13,56,43
730,8,56,48
731,30,61,31
732,24,57,33
733,8,61,53
734,39,67,28
735,19,67,48
736,46,67,21
737,34,47,13
738,21,67,46
739,22,60,38
740,30,56,26
741,12,51,39
742,31,55,24
743,33,64,31
744,41,53,12
745,29,72,43
746,21,62,41
747,31,68,37
748,27,65,38
749,16,57,41
750,23,59,36
751,32,65,33
752,30,68,38
753,15,56,41
754,43,70,27
755,21,60,39
756,25,62,37
757,13,61,48
758,18,54,36
759,31,64,33
760,29,60,31
761,16,56,40
762,25,63,38
763,30,48,18
764,43,68,25
765,28,60,32
766,34,56,22
767,19,64,45
768,20,58,38
769,35,71,36
770,36,58,22
771,31,67,36
772,13,54,41
773,28,70,42
774,24,64,40
775,57,64,7
776,43,67,24
777,20,59,39
778,26,55,29
779,18,55,37
780,32,57,25
781,40,65,25
782,36,67,31
783,25,67,42
784,21,55,34
785,21,56,35
786,30,54,24
787,20,60,40
788,31,72,41
789,19,66,47
790,10,44,34
791,18,60,42
792,18,60,42
793,34,70,36
794,11,70,59
795,16,64,48
796,13,59,46
797,35,59,24
798,35,66,31
799,14,54,40
800,12,66,54
801,43,71,28
802,31,71,40
803,17,66,49
804,28,61,33
805,16,57,41
806,28,72,44
807,43,69,26
808,14,54,40
809,37,62,25
810,31,72,41
811,33,50,17
812,9,69,60
813,24,56,32
814,27,61,34
815,42,68,26
816,31,61,30
817,30,65,35
818,41,67,26
819,33,65,32
820,36,62,26
821,24,63,39
822,27,59,32
823,38,70,32
824,21,61,40
825,33,58,25
826,28,59,31
827,20,63,43
828,27,55,28
829,43,63,20
830,17,63,46
