variant_id,correct_success_count,total_success_count,wrong_success_count
586,21,58,37
587,13,60,47
588,8,45,37
589,17,56,39
590,24,64,40
591,24,67,43
592,35,67,32
593,37,65,28
594,39,78,39
595,31,63,32
596,29,68,39
597,29,64,35
598,20,48,28
599,15,66,51
600,13,48,35
601,28,65,37
602,9,48,39
603,6,44,38
604,45,73,28
605,22,71,49
606,7,40,33
607,7,37,30
608,17,47,30
609,33,60,27
610,18,61,43
611,20,50,30
612,39,75,36
613,17,62,45
614,42,68,26
615,28,53,25
616,25,61,36
617,28,59,31
618,24,56,32
619,29,66,37
620,9,51,42
621,38,68,30
622,46,68,22
623,27,62,35
624,3,44,41
625,33,66,33
626,43,77,34
627,21,57,36
628,8,51,43
629,34,64,30
630,36,67,31
631,27,66,39
632,33,64,31
633,45,72,27
634,9,38,29
635,27,65,38
636,14,50,36
637,39,73,34
638,42,72,30
639,31,65,34
640,31,60,29
641,29,65,36
642,7,43,36
643,24,49,25
644,13,49,36
645,38,71,33
646,22,67,45
647,15,48,33
648,16,51,35
649,47,66,19
650,24,62,38
651,16,63,47
652,25,60,35
653,23,58,35
654,36,61,25
655,16,52,36
656,20,62,42
657,15,61,46
658,43,68,25
659,20,62,42
660,37,73,36
661,32,62,30
662,14,51,37
663,9,39,30
664,19,49,30
665,28,59,31
666,25,64,39
667,26,61,35
668,35,64,29
669,17,56,39
670,26,58,32
671,12,51,39
672,10,52,42
673,36,68,32
674,37,66,29
675,4,41,37
676,32,64,32
677,54,75,21
678,41,66,25
679,31,65,34
680,43,70,27
681,37,75,38
682,17,61,44
683,38,74,36
684,18,59,41
685,10,55,45
686,14,49,35
687,32,71,39
688,28,70,42
689,30,71,41
690,31,56,25
691,12,52,40
692,36,78,42
693,37,68,31
694,37,65,28
695,13,56,43
696,21,56,35
697,15,55,40
698,40,73,33
699,9,54,45
700,17,56,39
701,23,63,40
702,32,64,32
703,39,68,29
704,32,72,40
705,20,59,39
706,44,79,35
707,7,42,35
708,13,46,33
709,22,65,43
710,25,65,40
711,40,69,29
712,37,71,34
713,29,68,39
714,34,67,33
715,25,60,35
716,15,46,31
717,37,70,33
718,27,57,30
719,38,75,37
720,10,56,46
721,18,48,30
722,15,51,36
723,25,63,38
724,47,75,28
725,18,61,43
726,43,78,35
727,26,59,33
728,15,51,36
729,30,64,34
730,12,45,33
731,39,66,27
732,42,64,22
733,13,55,42
734,11,53,42
735,9,51,42
736,31,75,44
737,39,68,29
738,29,68,39
739,32,70,38
740,38,75,37
741,12,53,41
742,20,66,46
743,32,59,27
744,33,65,32
745,21,55,34
746,11,39,28
747,27,59,32
748,30,70,40
749,13,53,40
750,11,51,40
751,34,70,36
752,29,74,45
753,21,60,39
754,25,67,42
755,7,56,49
756,16,51,35
757,12,58,46
758,11,55,44
759,20,53,33
760,17,51,34
761,9,55,46
762,22,58,36
763,19,52,33
764,32,69,37
765,40,71,31
766,21,61,40
767,30,66,36
768,19,49,30
769,10,52,42
770,40,69,29
771,37,66,29
772,24,64,40
773,11,59,48
774,28,64,36
775,13,47,34
776,15,39,24
777,42,73,31
778,18,61,43
779,21,62,41
780,37,67,30
781,39,75,36
782,30,71,41
783,20,45,25
784,31,75,44
785,13,51,38
786,24,60,36
787,20,65,45
788,32,56,24
789,20,47,27
790,41,80,39
791,28,62,34
792,20,58,38
793,13,45,32
794,23,52,29
795,15,51,36
796,12,45,33
797,25,56,31
798,26,61,35
799,16,45,29
800,38,75,37
801,43,74,31
802,34,61,27
803,19,47,28
804,28,61,33
805,24,58,34
806,35,63,28
807,14,41,27
808,10,44,34
809,17,53,36
810,32,64,32
811,39,66,27
812,5,43,38
813,29,51,22
814,25,64,39
815,37,61,24
816,36,63,27
817,39,67,28
818,37,71,34
819,36,69,33
820,19,61,42
821,34,69,35
822,14,57,43
823,24,59,35
824,30,62,32
825,27,64,37
826,16,61,45
827,16,46,30
828,31,71,40
829,33,73,40
830,24,60,36
831,31,53,22
832,19,49,30
833,10,53,43
834,39,67,28
835,27,55,28
836,30,67,37
837,18,63,45
838,10,54,44
839,6,47,41
840,32,65,33
841,26,57,31
842,21,57,36
843,27,68,41
844,47,71,24
845,7,49,42
846,35,70,35
847,37,56,19
848,27,61,34
849,5,46,41
850,14,52,38
851,38,70,32
852,38,73,35
853,42,72,30
854,24,54,30
855,24,59,35
856,17,50,33
857,13,57,44
858,7,41,34
859,28,65,37
860,22,64,42
861,32,67,35
862,17,54,37
863,24,59,35
864,14,54,40
865,16,49,33
866,24,62,38
867,10,55,45
868,24,62,38
869,43,69,26
870,40,77,37
871,36,70,34
872,25,59,34
873,24,55,31
874,23,60,37
875,29,66,37
876,15,55,40
877,10,39,29
878,43,86,43
879,4,35,31
880,38,70,32
881,22,54,32
