variant_id,correct_success_count,total_success_count,wrong_success_count
788,9,50,41
789,7,46,39
790,35,68,33
791,22,61,39
792,13,50,37
793,7,43,36
794,9,46,37
795,10,50,40
796,9,49,40
797,22,56,34
798,21,57,36
799,13,54,41
800,25,65,40
801,30,67,37
802,23,58,35
803,11,55,44
804,26,56,30
805,20,49,29
806,32,70,38
807,7,43,36
808,7,50,43
809,4,52,48
810,22,52,30
811,25,55,30
812,8,62,54
813,7,41,34
814,18,51,33
815,21,44,23
816,24,41,17
817,30,51,21
818,31,61,30
819,28,69,41
820,11,52,41
821,21,52,31
822,6,57,51
823,12,49,37
824,12,45,33
825,8,52,44
826,19,51,32
827,5,54,49
828,26,57,31
829,26,58,32
830,13,45,32
831,23,57,34
832,6,62,56
833,3,55,52
834,20,66,46
835,17,59,42
836,16,62,46
837,13,57,44
838,3,41,38
839,2,50,48
840,24,56,32
841,11,71,60
842,19,53,34
843,14,49,35
844,31,62,31
845,3,47,44
846,21,55,34
847,20,54,34
848,16,65,49
849,4,41,37
850,8,58,50
851,27,63,36
852,29,67,38
853,27,54,27
854,20,52,32
855,13,57,44
856,4,51,47
857,8,46,38
858,0,51,51
859,24,65,41
860,20,67,47
861,22,57,35
862,13,69,56
863,15,57,42
864,11,45,34
865,6,46,40
866,19,54,35
867,8,64,56
868,10,54,44
869,24,61,37
870,39,70,31
871,20,60,40
872,8,47,39
873,11,53,42
874,20,58,38
875,13,49,36
876,6,54,48
877,4,53,49
878,21,52,31
879,2,44,42
880,32,64,32
881,10,48,38
882,23,55,32
883,3,57,54
884,3,48,45
885,35,71,36
886,22,57,35
887,4,53,49
888,8,50,42
889,2,58,56
890,14,48,34
891,19,47,28
892,5,44,39
893,7,54,47
894,23,59,36
895,17,68,51
896,10,55,45
897,16,56,40
898,7,60,53
899,25,67,42
900,19,61,42
901,13,48,35
902,19,60,41
903,21,54,33
904,22,48,26
905,27,52,25
906,23,57,34
907,18,58,40
908,1,40,39
909,23,55,32
910,9,55,46
911,19,67,48
912,19,60,41
913,15,56,41
914,9,53,44
915,15,65,50
916,24,60,36
917,8,49,41
918,17,63,46
919,18,52,34
920,20,66,46
921,21,55,34
922,26,55,29
923,8,56,48
924,23,52,29
925,5,51,46
926,23,63,40
927,21,59,38
928,12,58,46
929,16,51,35
930,6,49,43
931,21,58,37
932,12,56,44
933,14,51,37
934,10,48,38
935,25,59,34
936,19,52,33
937,27,62,35
938,11,52,41
939,15,48,33
940,5,66,61
941,17,47,30
942,6,50,44
943,19,64,45
944,10,41,31
945,9,46,37
946,4,48,44
947,20,63,43
948,21,63,42
949,2,47,45
950,14,46,32
951,8,62,54
952,14,42,28
953,4,54,50
954,9,47,38
955,8,48,40
956,20,55,35
957,8,61,53
958,20,64,44
959,7,52,45
960,27,61,34
961,27,60,33
962,29,68,39
963,3,40,37
964,11,56,45
965,7,50,43
966,8,45,37
967,23,65,42
968,12,54,42
969,6,61,55
