variant_id,mixed_success_correct,correct_success,mixed_failure_correct,correct_failure
434,20,19,11,4
435,11,7,29,43
436,12,9,30,41
437,24,22,7,10
438,22,23,16,26
439,14,17,29,15
440,5,8,44,30
441,13,7,20,23
442,32,21,4,9
443,18,13,33,42
444,21,19,18,18
445,11,8,27,24
446,27,19,16,15
447,10,5,41,30
448,6,4,34,38
449,25,18,14,9
450,9,8,27,24
451,17,21,16,12
452,17,26,18,8
453,11,14,23,22
454,17,13,4,7
455,9,11,38,29
456,27,26,7,3
457,19,16,32,36
458,9,7,31,38
459,13,20,25,22
460,26,14,22,16
461,7,8,45,37
462,10,2,28,56
463,18,13,16,18
464,31,27,10,4
465,14,12,17,20
466,9,18,33,21
467,25,28,2,3
468,13,10,26,18
469,9,11,34,18
470,24,18,7,8
471,22,17,18,8
472,17,6,28,27
473,20,20,18,15
474,15,16,14,15
475,19,23,11,7
476,17,15,17,12
477,24,25,3,7
478,21,20,15,17
479,21,20,20,24
480,16,16,20,28
481,7,4,36,33
482,2,3,47,42
483,29,29,3,6
484,7,7,30,40
485,24,19,7,9
486,8,6,41,42
487,4,3,30,51
488,10,14,28,30
489,4,4,42,40
490,6,5,27,39
491,31,21,7,7
492,17,11,16,13
493,6,5,33,43
494,28,17,16,20
495,19,11,19,26
496,18,18,15,10
497,28,27,6,3
498,23,23,7,13
499,18,15,16,23
500,5,9,29,37
501,11,11,35,43
502,12,23,22,9
503,22,16,5,12
504,5,3,22,37
505,5,5,31,37
506,12,3,28,24
507,19,15,19,15
508,5,6,45,42
509,9,12,30,39
510,6,7,30,44
511,18,21,10,4
512,13,11,31,18
513,8,12,37,37
514,23,18,16,10
515,7,5,46,34
516,3,3,37,53
517,19,23,21,17
518,17,18,12,13
519,8,2,24,29
520,8,7,27,26
521,29,29,7,0
522,15,14,15,9
523,26,27,6,5
524,14,14,24,28
525,19,22,16,10
526,15,16,8,5
527,10,9,36,41
528,4,9,40,28
529,25,14,9,15
530,28,28,13,11
531,23,18,5,8
532,22,20,22,16
533,19,12,20,25
534,19,22,14,16
535,17,12,21,27
536,23,22,4,9
537,16,15,26,21
538,10,8,30,25
539,9,16,12,5
540,24,25,15,11
541,8,6,24,22
542,10,12,21,29
543,20,12,13,17
544,8,6,22,28
545,8,13,27,39
546,5,7,35,33
547,5,13,36,32
548,40,28,5,9
549,20,16,10,9
550,17,20,19,24
551,20,22,11,4
552,18,14,13,14
553,13,12,31,22
554,35,25,7,11
555,24,21,7,2
556,25,23,12,10
557,17,9,14,13
558,20,11,24,25
559,8,13,31,35
560,26,22,20,24
561,14,8,34,42
562,24,19,6,10
563,31,28,6,8
564,12,13,37,37
565,11,10,34,34
566,9,13,28,29
567,25,23,16,7
568,3,5,29,42
569,13,8,28,26
570,8,10,30,26
571,5,5,36,33
572,8,6,31,44
573,5,10,36,32
574,10,17,28,18
575,18,11,16,19
576,29,20,16,11
577,16,14,26,31
578,14,18,16,11
579,8,7,31,41
580,33,28,17,3
581,33,28,7,3
582,29,21,11,4
583,25,25,13,7
584,29,25,4,4
585,11,12,25,27
586,6,6,32,34
587,2,2,34,36
588,4,2,36,51
589,5,9,43,35
590,19,22,21,17
591,17,13,23,13
592,18,19,11,9
593,21,20,7,7
594,35,24,17,15
595,16,12,17,11
596,21,18,12,16
597,6,15,35,23
598,12,10,29,29
599,4,6,32,27
600,1,5,31,40
601,28,18,20,22
602,5,6,29,34
603,3,8,34,45
604,35,28,7,2
605,14,10,20,24
606,3,5,35,36
607,8,12,40,32
608,10,12,35,21
609,25,14,9,10
610,12,12,34,40
611,17,13,40,28
612,23,28,4,3
613,9,13,19,20
614,19,22,12,10
615,19,11,22,25
616,25,16,19,19
617,19,21,25,15
