category,category_id,variant_id,stored_count,attempt_count,success_count,failure_count,attempt_step_sum,success_step_sum,failure_step_sum,attempt_step_max,num_copies,object_id,z_shift,table_size_x,table_size_y,table_size_z,object_mass,target_count,missing_to_target,complete_32,success_rate,stored_rate,mean_attempt_steps,mean_success_steps,mean_failure_steps,attempt_steps_per_stored,attempt_steps_per_success,stored_per_1k_attempt_steps,success_per_1k_attempt_steps,copies_with_stored,max_copy_stored,min_copy_stored,mean_copy_stored,copies_with_attempts,object_name,usable_success_fraction_est
afar,0,305,18,106,102,0,48636,46822,1814,599,4,29,0.5236636996269226,0.5488556027412415,1.1355479955673218,0.050000000745058,0.6060283184051514,32,14,False,0.9622641509433962,0.1698113207547169,458.8301886792453,459.0392156862745,,2702.0,476.8235294117647,0.3700962250185048,2.097211941771527,4,8,2,4.5,4,chicken_(animal)_2,0.17647058823529413
afar,0,674,18,102,101,0,48825,48226,599,599,4,8,0.5872516632080078,0.5835212469100952,1.1082946062088013,0.050000000745058,0.5414648056030273,32,14,False,0.9901960784313726,0.1764705882352941,478.6764705882353,477.48514851485146,,2712.5,483.4158415841584,0.3686635944700461,2.0686123911930365,3,9,0,4.5,4,bandage_4,0.1782178217821782
afar,0,1629,18,115,100,3,48525,43064,5461,599,4,12,0.6890473961830139,0.6952309608459473,0.8230245113372803,0.050000000745058,0.2064771056175232,32,14,False,0.8695652173913043,0.1565217391304348,421.9565217391304,430.64,1820.3333333333333,2695.833333333333,485.25,0.3709428129829984,2.0607934054611023,3,10,0,4.5,4,beer_can_1,0.18
afar,0,405,18,104,93,1,49201,45684,3517,599,4,12,0.4194775819778442,0.6077768802642822,1.1643550395965576,0.050000000745058,0.7657913565635681,32,14,False,0.8942307692307693,0.173076923076923,473.08653846153845,491.2258064516129,3517.0,2733.3888888888887,529.0430107526881,0.3658462226377512,1.8902054836283813,3,11,0,4.5,4,beer_can_1,0.1935483870967742
afar,0,150,18,92,88,0,48966,46570,2396,599,4,22,0.5322694778442383,0.5106205344200134,0.8388971090316772,0.050000000745058,0.3139382600784302,32,14,False,0.9565217391304348,0.1956521739130435,532.2391304347826,529.2045454545455,,2720.333333333333,556.4318181818181,0.3676020095576522,1.7971653800596332,3,7,0,4.5,4,candy_cane_1,0.20454545454545456
afar,0,1644,18,102,85,2,48770,41499,7271,599,4,12,0.4976767599582672,0.5344225168228149,0.835237979888916,0.050000000745058,0.719196081161499,32,14,False,0.8333333333333334,0.1764705882352941,478.1372549019608,488.22352941176473,3635.5,2709.4444444444443,573.7647058823529,0.369079352060693,1.7428747180643838,2,17,0,4.5,4,beer_can_1,0.21176470588235294
afar,0,594,18,105,78,6,48687,38878,9809,599,4,10,0.5537108182907104,0.555916965007782,0.619483232498169,0.050000000745058,0.7274754643440247,32,14,False,0.7428571428571429,0.1714285714285714,463.6857142857143,498.4358974358975,1634.8333333333333,2704.833333333333,624.1923076923077,0.3697085464292316,1.6020703678600037,2,16,0,4.5,4,beer_bottle_0,0.23076923076923078
afar,0,1977,19,134,126,0,49132,48066,1066,599,4,24,0.7325887680053711,0.5767289400100708,0.695621907711029,0.050000000745058,0.5982367396354675,32,13,False,0.9402985074626866,0.1417910447761194,366.6567164179105,381.4761904761905,,2585.894736842105,389.936507936508,0.3867133436456891,2.564520068387202,4,10,1,4.75,4,canister_1,0.15079365079365079
afar,0,540,19,124,112,8,49117,44894,4223,599,4,10,0.7115095853805542,0.5275360941886902,0.615875780582428,0.050000000745058,0.7221272587776184,32,13,False,0.9032258064516128,0.1532258064516129,396.10483870967744,400.8392857142857,527.875,2585.1052631578946,438.5446428571428,0.3868314432884744,2.280269560437324,4,13,1,4.75,4,beer_bottle_0,0.16964285714285715
afar,0,612,19,113,110,1,49421,47624,1797,599,4,15,0.545617938041687,0.6341231465339661,1.0392005443572998,0.050000000745058,0.2929432392120361,32,13,False,0.9734513274336284,0.168141592920354,437.353982300885,432.94545454545454,1797.0,2601.1052631578946,449.2818181818182,0.3844519536229538,2.225774468343417,4,8,2,4.75,4,bolt_1,0.17272727272727273
afar,0,1807,19,118,110,4,48913,45706,3207,599,4,23,0.6620593070983887,0.548922598361969,0.6753275990486145,0.050000000745058,0.6706335544586182,32,13,False,0.9322033898305084,0.1610169491525423,414.5169491525424,415.5090909090909,801.75,2574.368421052632,444.6636363636364,0.388444789728702,2.2488908879030114,2,10,0,4.75,4,canister_0,0.17272727272727273
afar,0,1750,19,108,105,0,48643,47079,1564,599,4,16,0.5144382119178772,0.6974828243255615,1.1148486137390137,0.050000000745058,0.5440976619720459,32,13,False,0.9722222222222222,0.1759259259259259,450.39814814814815,448.37142857142857,,2560.157894736842,463.26666666666665,0.3906009086610612,2.158583968916391,4,7,3,4.75,4,boom_microphone_1,0.18095238095238095
afar,0,1531,19,105,100,1,48529,45594,2935,599,4,4,0.5828915238380432,0.5269402861595154,0.7156655192375183,0.050000000745058,0.7419853806495667,32,13,False,0.9523809523809524,0.1809523809523809,462.1809523809524,455.94,2935.0,2554.157894736842,485.29,0.3915184734900781,2.060623544684621,4,7,1,4.75,4,Tabasco_sauce_2,0.19
afar,0,1869,19,103,98,1,48247,46402,1845,599,4,29,0.4763293266296386,0.521748423576355,1.102978229522705,0.050000000745058,0.4786527156829834,32,13,False,0.9514563106796116,0.1844660194174757,468.41747572815535,473.48979591836735,1845.0,2539.315789473684,492.3163265306122,0.3938068688208593,2.03121437602338,4,11,1,4.75,4,chicken_(animal)_2,0.19387755102040816
afar,0,1871,19,98,95,1,48243,47606,637,599,4,27,0.4311971366405487,0.5387714505195618,0.9936760663986206,0.050000000745058,0.7431114912033081,32,13,False,0.9693877551020408,0.1938775510204081,492.2755102040816,501.1157894736842,637.0,2539.1052631578946,507.8210526315789,0.3938395207594884,1.969197603797442,4,7,1,4.75,4,chalice_2,0.2
afar,0,741,19,96,91,1,48996,46001,2995,599,4,4,0.4603446424007416,0.6940739154815674,0.8358169794082642,0.050000000745058,0.2616690695285797,32,13,False,0.9479166666666666,0.1979166666666666,510.375,505.5054945054945,2995.0,2578.736842105264,538.4175824175824,0.3877867581027022,1.8572944730182053,4,14,1,4.75,4,Tabasco_sauce_2,0.2087912087912088
afar,0,1099,19,104,90,1,48219,42913,5306,599,4,12,0.6030167937278748,0.6810818314552307,1.1184223890304563,0.050000000745058,0.6769395470619202,32,13,False,0.8653846153846154,0.1826923076923076,463.6442307692308,476.81111111111113,5306.0,2537.842105263158,535.7666666666667,0.3940355461540056,1.8664841659926583,4,11,1,4.75,4,beer_can_1,0.2111111111111111
