category,category_id,variant_id,stored_count,attempt_count,success_count,failure_count,attempt_step_sum,success_step_sum,failure_step_sum,attempt_step_max,num_copies,object_id,z_shift,table_size_x,table_size_y,table_size_z,object_mass,target_count,missing_to_target,complete_32,success_rate,stored_rate,mean_attempt_steps,mean_success_steps,mean_failure_steps,attempt_steps_per_stored,attempt_steps_per_success,stored_per_1k_attempt_steps,success_per_1k_attempt_steps,copies_with_stored,max_copy_stored,min_copy_stored,mean_copy_stored,copies_with_attempts,eff_median,eff_mad,robust_z_attempt_steps_per_stored,object_name
afar,0,48,29,113,110,1,49120,48547,573,595,4,22,0.542248547077179,0.5298731923103333,0.7502112984657288,0.050000000745058,0.5531107783317566,32,3,False,0.9734513274336284,0.2566371681415929,434.6902654867257,441.3363636363636,573.0,1693.7931034482758,446.54545454545456,0.5903908794788274,2.239413680781759,4,17,1,7.25,4,1054.0032377428306,248.72454921824044,1.7350047101288526,candy_cane_1
afar,0,49,50,113,101,4,48951,48093,858,599,4,11,0.5780731439590454,0.5001150965690613,1.044979214668274,0.050000000745058,0.6899608373641968,32,0,True,0.8938053097345132,0.4424778761061947,433.1946902654867,476.1683168316832,214.5,979.02,484.66336633663366,1.0214295928581645,2.063287777573492,4,27,4,12.5,4,1054.0032377428306,248.72454921824044,-0.2033421872368608,beer_bottle_3
afar,0,50,58,104,97,1,48679,46810,1869,599,4,31,0.4077223837375641,0.6755678653717041,0.9237488508224488,0.050000000745058,0.450089693069458,32,0,True,0.9326923076923076,0.5576923076923077,468.0673076923077,482.5773195876289,1869.0,839.2931034482758,501.8453608247423,1.191478871792765,1.992645699377555,4,20,2,14.5,4,1054.0032377428306,248.72454921824044,-0.5822585106169189,cider_0
afar,0,51,30,102,99,2,48674,47445,1229,599,4,9,0.5046436786651611,0.53985595703125,1.0494203567504885,0.050000000745058,0.6166551113128662,32,2,False,0.9705882352941176,0.2941176470588235,477.1960784313725,479.24242424242425,614.5,1622.4666666666667,491.6565656565657,0.6163454821876155,2.033940091219131,4,18,2,7.5,4,1054.0032377428306,248.72454921824044,1.5415791646392432,bear_0
afar,0,52,23,126,123,2,49661,48272,1389,599,4,28,0.7085268497467041,0.6747312545776367,0.7372907996177673,0.050000000745058,0.6432989239692688,32,9,False,0.9761904761904762,0.1825396825396825,394.1349206349207,392.4552845528455,694.5,2159.1739130434785,403.7479674796748,0.4631400898089043,2.476792654195445,3,16,0,5.75,4,1054.0032377428306,248.72454921824044,2.997040794056125,chalice_4
afar,0,53,55,121,108,12,48940,44997,3943,599,4,12,0.5513845682144165,0.5279841423034668,1.1443356275558472,0.050000000745058,0.7891708016395569,32,0,True,0.8925619834710744,0.4545454545454545,404.46280991735534,416.6388888888889,328.5833333333333,889.8181818181819,453.14814814814815,1.1238250919493258,2.206783816918676,3,22,0,13.75,4,1054.0032377428306,248.72454921824044,-0.4452428221068182,beer_can_1
afar,0,54,40,127,119,5,49004,45130,3874,599,4,0,0.7992099523544312,0.6244072914123535,0.906940460205078,0.050000000745058,0.4951475858688354,32,0,True,0.937007874015748,0.3149606299212598,385.8582677165354,379.2436974789916,774.8,1225.1,411.7983193277311,0.8162598971512529,2.428373194024977,4,22,2,10.0,4,1054.0032377428306,248.72454921824044,0.4639862309739282,Band_Aid_0
afar,0,55,44,130,122,6,48744,46531,2213,599,4,30,0.7603176832199097,0.6603463888168335,1.077627182006836,0.050000000745058,0.4540272951126098,32,0,True,0.9384615384615383,0.3384615384615385,374.9538461538461,381.4016393442623,368.8333333333333,1107.8181818181818,399.5409836065574,0.9026752010503856,2.5028721483669787,4,21,1,11.0,4,1054.0032377428306,248.72454921824044,0.1459372622964327,chocolate_milk_4
afar,0,56,67,114,112,1,48757,47559,1198,599,4,15,0.5906352996826172,0.616001307964325,1.1718047857284546,0.050000000745058,0.5292272567749023,32,0,True,0.9824561403508772,0.5877192982456141,427.6929824561403,424.63392857142856,1198.0,727.7164179104477,435.3303571428572,1.3741616588387309,2.2971060565662365,4,25,7,16.75,4,1054.0032377428306,248.72454921824044,-0.8848360994870483,bolt_1
afar,0,57,26,99,91,1,49564,44772,4792,599,4,8,0.466503381729126,0.6996256709098816,0.7035068869590759,0.050000000745058,0.3819565176963806,32,6,False,0.9191919191919192,0.2626262626262626,500.6464646464647,492.0,4792.0,1906.3076923076924,544.6593406593406,0.5245742877895246,1.8360100072633363,3,14,0,6.5,4,1054.0032377428306,248.72454921824044,2.311309263242761,bandage_4
