category,category_id,variant_id,stored_count,attempt_count,success_count,failure_count,attempt_step_sum,success_step_sum,failure_step_sum,attempt_step_max,num_copies,object_id,z_shift,table_size_x,table_size_y,table_size_z,object_mass,target_count,missing_to_target,complete_32,success_rate,stored_rate,mean_attempt_steps,mean_success_steps,mean_failure_steps,attempt_steps_per_stored,attempt_steps_per_success,stored_per_1k_attempt_steps,success_per_1k_attempt_steps,copies_with_stored,max_copy_stored,min_copy_stored,mean_copy_stored,copies_with_attempts
far_recovery,2,60,0,0,0,0,0,0,0,0,4,20,0.47071605920791626,0.588868260383606,0.6014170050621033,0.05000000074505806,0.2497314214706421,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,61,0,0,0,0,0,0,0,0,4,12,0.7299089431762695,0.5630187392234802,0.7400937676429749,0.05000000074505806,0.30819541215896606,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,62,0,0,0,0,0,0,0,0,4,1,0.721420407295227,0.5493241548538208,1.100419521331787,0.05000000074505806,0.3749186396598816,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,63,0,0,0,0,0,0,0,0,4,11,0.777379035949707,0.5349113345146179,0.6580625772476196,0.05000000074505806,0.5404224991798401,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,64,0,0,0,0,0,0,0,0,4,18,0.4878880977630615,0.6312982439994812,1.1829928159713745,0.05000000074505806,0.4652416706085205,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,65,0,0,0,0,0,0,0,0,4,16,0.5670788288116455,0.5701323747634888,0.813694417476654,0.05000000074505806,0.6632983684539795,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,66,0,0,0,0,0,0,0,0,4,29,0.596125602722168,0.6999348998069763,0.8967463970184326,0.05000000074505806,0.7301435470581055,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,67,0,0,0,0,0,0,0,0,4,1,0.6292114853858948,0.5316832661628723,1.086637258529663,0.05000000074505806,0.44788843393325806,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,68,0,0,0,0,0,0,0,0,4,7,0.44821634888648987,0.6645144820213318,0.8683730363845825,0.05000000074505806,0.4845377206802368,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,69,0,0,0,0,0,0,0,0,4,31,0.45807552337646484,0.6327646970748901,0.8970627188682556,0.05000000074505806,0.7737762928009033,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,70,0,0,0,0,0,0,0,0,4,3,0.7088009119033813,0.6238475441932678,0.7290260195732117,0.05000000074505806,0.4499025344848633,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,71,0,0,0,0,0,0,0,0,4,0,0.5531015992164612,0.577894926071167,0.6861429214477539,0.05000000074505806,0.6821046471595764,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,72,0,0,0,0,0,0,0,0,4,16,0.6976946592330933,0.6157376170158386,1.193749189376831,0.05000000074505806,0.30304083228111267,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,73,0,0,0,0,0,0,0,0,4,27,0.6114019751548767,0.5994147658348083,0.6819665431976318,0.05000000074505806,0.5119144320487976,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,74,0,0,0,0,0,0,0,0,4,28,0.6656689643859863,0.5836976766586304,0.6839858293533325,0.05000000074505806,0.6784753799438477,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,75,0,0,0,0,0,0,0,0,4,5,0.6439777612686157,0.6719717979431152,1.0716527700424194,0.05000000074505806,0.23479394614696503,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,76,0,0,0,0,0,0,0,0,4,10,0.6727198958396912,0.5755541324615479,1.1990771293640137,0.05000000074505806,0.2950930595397949,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,77,0,0,0,0,0,0,0,0,4,21,0.6991421580314636,0.5101885199546814,0.8973658680915833,0.05000000074505806,0.4217384457588196,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,78,0,0,0,0,0,0,0,0,4,14,0.41477760672569275,0.5628497004508972,0.8674351572990417,0.05000000074505806,0.26303717494010925,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,79,0,0,0,0,0,0,0,0,4,16,0.7006703019142151,0.6307946443557739,0.6917995810508728,0.05000000074505806,0.7853354215621948,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,80,0,0,0,0,0,0,0,0,4,22,0.4593753516674042,0.675347626209259,0.7063220739364624,0.05000000074505806,0.5108547210693359,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,81,0,0,0,0,0,0,0,0,4,14,0.4490981996059418,0.6096179485321045,0.9007235765457153,0.05000000074505806,0.6147461533546448,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,82,0,0,0,0,0,0,0,0,4,15,0.6121628880500793,0.59400475025177,0.9484989643096924,0.05000000074505806,0.2050575464963913,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,83,0,0,0,0,0,0,0,0,4,28,0.5659185647964478,0.6329828500747681,0.990639865398407,0.05000000074505806,0.300567090511322,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,84,0,0,0,0,0,0,0,0,4,27,0.717464804649353,0.6530860066413879,0.8385199308395386,0.05000000074505806,0.40543219447135925,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,85,0,0,0,0,0,0,0,0,4,17,0.48417288064956665,0.5007628798484802,0.870218813419342,0.05000000074505806,0.46590274572372437,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,86,0,0,0,0,0,0,0,0,4,7,0.4222036302089691,0.6689571142196655,0.9038999080657959,0.05000000074505806,0.25196951627731323,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,87,0,0,0,0,0,0,0,0,4,19,0.745553731918335,0.5227003693580627,0.6728249192237854,0.05000000074505806,0.5623198747634888,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,88,0,0,0,0,0,0,0,0,4,1,0.5703436136245728,0.5129101872444153,0.7812922596931458,0.05000000074505806,0.643780529499054,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,89,0,0,0,0,0,0,0,0,4,27,0.7124914526939392,0.6546854972839355,0.6375778913497925,0.05000000074505806,0.20993433892726898,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
